Japanese,English
こんにちは,Hello
ありがとう,thank you
すみません,sorry
はい,yes
いいえ,no
おはよう,good morning
おねがいします,Please.
だれ,who
どこ,where
いつ,when
なに,what
かわいい,cute
おいしい,delicious
たべる,eat
のむ,drink
いく,go
みる,see
する,do
くる,Coming
きく,listen
かく,write
よむ,read
おきる,wake up
ねる,sleep
あそぶ,play
テレビ,tv set
パソコン,PC
スマホ,smartphone
トイレ,toilet
コーヒー,coffee
パン,bread
メニュー,menu
カメラ,camera
タクシー,taxi
ホテル,Hotel
レストラン,restaurant
ノート,Notebook
クラス,class
デパート,Department store
ニュース,news
バス,bus
ドア,door
シャツ,shirt
ネクタイ,tie
日本,Japan
学生,student
先生,teacher
学校,school
水,water
お茶,tea
お金,money
時間,time
私,I
人,people
今日,today
名前,name
友達,friend
家族,family
行く,go
話す,talk
会う,meet
開ける,open
遊ぶ,play
浴びる,bathe
洗う,wash
歩く,walk
言う,say
居る,He is there
入れる,put in
歌う,sing
売る,sell
置く,put
教える,teach
押す,push
泳ぐ,swim
降りる,Get off
終わる,End
買う,buy
返す,return
帰る,Go home
かかる,such
借りる,borrow
消す,erase
死ぬ,die
知る,know
吸う,inhale
住む,live
座る,sit
出す,put out
立つ,stand
頼む,ask
使う,use
作る,make
点ける,Turn on
勤める,serve
出かける,go out
手伝う,help
止まる,Stop
撮る,take a picture
取る,take
脱ぐ,Take off
登る,climb
乗り換える,Switch trains
乗る,get on
入る,enter
運ぶ,carry
走る,run
働く,work
引く,Pull
弾く,play
吹く,blow
曲がる,bend
待つ,wait
持つ,have
休む,rest
やる,do
呼ぶ,Call
分かる,I understand
忘れる,forget
渡す,hand over
